,x_coor,y_coor,frame
607,267,149,88
608,250,0,88
609,532,379,89
610,39,322,89
611,463,269,89
612,242,188,89
613,265,151,89
614,300,109,89
615,250,0,89
616,39,322,90
617,459,283,90
618,264,154,90
619,300,109,90
620,249,0,90
621,531,381,91
622,39,322,91
623,427,270,91
624,82,241,91
625,376,178,91
626,351,174,91
627,262,156,91
628,396,46,91
629,248,0,91
630,39,322,92
631,376,178,92
632,260,158,92
633,301,109,92
634,248,0,92
635,39,322,93
636,459,282,93
637,463,268,93
638,241,185,93
639,258,160,93
640,397,46,93
641,247,0,93
642,39,322,94
643,437,272,94
644,431,271,94
645,239,183,94
646,377,177,94
647,301,108,94
648,397,45,94
649,247,0,94
650,39,322,95
651,326,269,95
652,377,177,95
653,255,164,95
654,397,45,95
655,246,0,95
656,39,322,96
657,437,274,96
658,377,177,96
659,351,172,96
660,253,166,96
661,301,106,96
662,397,45,96
663,245,0,96
664,39,322,97
665,460,280,97
666,325,267,97
667,78,242,97
668,251,168,97
669,302,106,97
670,397,44,97
671,245,0,97
672,39,322,98
673,379,176,98
674,250,170,98
675,301,106,98
676,397,44,98
677,244,0,98
678,308,390,99
679,39,322,99
680,358,293,99
681,461,279,99
682,255,278,99
683,494,195,99
684,248,172,99
685,303,107,99
686,244,0,99
687,39,322,100
688,358,289,100
689,461,278,100
690,324,267,100
691,77,242,100
692,247,174,100
693,302,105,100
694,243,0,100
695,437,323,101
696,39,322,101
697,461,277,101
698,464,269,101
699,76,242,101
700,245,176,101
701,242,0,101
702,39,322,102
703,462,276,102
704,463,269,102
705,76,241,102
706,237,180,102
707,244,178,102
708,241,0,102
709,532,376,103
710,436,324,103
711,39,322,103
712,463,270,103
713,303,102,103
714,240,0,103
715,532,376,104
716,39,322,104
717,303,102,104
718,397,41,104
719,240,0,104
720,532,376,105
721,320,328,105
722,39,322,105
723,304,102,105
724,398,41,105
725,240,0,105
726,309,390,106
727,532,376,106
728,321,333,106
729,39,322,106
730,398,41,106
731,239,0,106
732,532,376,107
733,39,322,107
734,304,102,107
735,398,40,107
736,239,0,107
737,532,376,108
738,39,322,108
739,73,242,108
740,246,182,108
741,238,179,108
742,398,40,108
743,238,0,108
744,309,391,109
745,532,376,109
746,39,322,109
747,459,278,109
748,453,277,109
749,537,268,109
750,73,242,109
751,247,182,109
752,304,100,109
753,398,39,109
754,238,0,109
755,532,376,110
756,322,333,110
757,321,326,110
758,39,322,110
759,455,277,110
760,247,182,110
761,241,179,110
762,398,39,110
763,238,0,110
764,532,376,111
765,39,322,111
766,321,332,111
767,324,326,111
768,462,279,111
769,456,278,111
770,72,242,111
771,248,182,111
772,398,39,111
773,238,0,111
774,308,394,112
775,532,376,112
776,39,322,112
777,322,332,112
778,320,326,112
779,536,269,112
780,431,185,112
781,249,183,112
782,242,179,112
783,378,174,112
784,305,99,112
785,238,0,112
786,532,376,113
787,434,322,113
788,39,322,113
789,322,332,113
790,325,331,113
791,352,283,113
792,459,279,113
793,249,183,113
794,354,167,113
795,238,0,113
796,532,376,114
797,434,322,114
798,39,322,114
799,321,331,114
800,249,183,114
801,243,179,114
802,376,174,114
803,239,0,114
804,532,376,115
805,39,322,115
806,321,331,115
807,70,242,115
808,250,183,115
809,532,376,116
810,39,322,116
811,321,330,116
812,250,183,116
813,532,376,117
